"genre","start_year","average_rating","num_votes","primary_title","tconst","priority","title_type","genres","directors"
"Fantasy",1973,7.7,52316,"The Holy Mountain","tt0071615",True,"movie","Adventure - Drama - Fantasy","Alejandro Jodorowsky"
"Drama",1974,7.7,136613,"The Conversation","tt0071360",True,"movie","Drama - Mystery - Thriller","Francis Ford Coppola"
"Mystery",1974,7.7,136613,"The Conversation","tt0071360",True,"movie","Drama - Mystery - Thriller","Francis Ford Coppola"
"Thriller",1974,7.7,136613,"The Conversation","tt0071360",True,"movie","Drama - Mystery - Thriller","Francis Ford Coppola"
"Mystery",1974,8.1,376373,"Chinatown","tt0071315",False,"movie","Drama - Mystery - Thriller","Roman Polanski"
"Thriller",1974,8.1,376373,"Chinatown","tt0071315",False,"movie","Drama - Mystery - Thriller","Roman Polanski"
"Drama",1974,8.1,376373,"Chinatown","tt0071315",False,"movie","Drama - Mystery - Thriller","Roman Polanski"
"Comedy",1974,6.1,30242,"Dark Star","tt0069945",True,"movie","Comedy - Sci-Fi","John Carpenter"
"Sci-Fi",1974,6.1,30242,"Dark Star","tt0069945",True,"movie","Comedy - Sci-Fi","John Carpenter"
"Biography",1975,8.2,36294,"Dersu Uzala","tt0071411",False,"movie","Adventure - Biography - Drama","Akira Kurosawa"
"Adventure",1975,8.2,36294,"Dersu Uzala","tt0071411",False,"movie","Adventure - Biography - Drama","Akira Kurosawa"
"Drama",1975,8.2,36294,"Dersu Uzala","tt0071411",False,"movie","Adventure - Biography - Drama","Akira Kurosawa"
"Drama",1976,8.1,186216,"Network","tt0074958",False,"movie","Drama","Sidney Lumet"
"War",1977,7.4,67498,"A Bridge Too Far","tt0075784",False,"movie","Drama - History - War","Richard Attenborough"
"History",1977,7.4,67498,"A Bridge Too Far","tt0075784",False,"movie","Drama - History - War","Richard Attenborough"
"Drama",1977,7.4,67498,"A Bridge Too Far","tt0075784",False,"movie","Drama - History - War","Richard Attenborough"
"Action",1978,6.3,32394,"Every Which Way But Loose","tt0077523",False,"movie","Action - Comedy","James Fargo"
"Horror",1978,7.4,81185,"Invasion of the Body Snatchers","tt0077745",True,"movie","Horror - Sci-Fi","Philip Kaufman"
"Sci-Fi",1978,7.4,81185,"Invasion of the Body Snatchers","tt0077745",True,"movie","Horror - Sci-Fi","Philip Kaufman"
"Drama",1978,8.1,386274,"The Deer Hunter","tt0077416",False,"movie","Drama - War","Michael Cimino"
"War",1978,8.1,386274,"The Deer Hunter","tt0077416",False,"movie","Drama - War","Michael Cimino"
"Comedy",1978,6.3,32394,"Every Which Way But Loose","tt0077523",False,"movie","Action - Comedy","James Fargo"
